n,avg_deg,seed,ds_size,cds_size,steiner_nodes,time_ms,valid,actual_avg_deg
50,5,6050,36,39,3,0.2860000022337772,True,4.84
50,5,6051,36,39,3,0.2347999979974702,True,4.84
50,5,6052,36,39,3,0.24259999918285757,True,4.84
50,5,6053,36,39,3,0.2426999999443069,True,4.84
50,5,6054,36,39,3,0.2209999947808683,True,4.84
50,5,6055,36,39,3,0.2131000001099892,True,4.84
50,5,6056,35,38,3,0.1962000023922883,True,4.08
50,5,6057,35,38,3,0.1995999991777353,True,4.08
50,5,6058,35,38,3,0.18950000230688602,True,4.08
50,5,6059,35,38,3,0.18379999528406188,True,4.08
50,5,6060,35,38,3,0.18169999384554103,True,4.08
50,5,6061,35,38,3,0.17929999739862978,True,4.08
50,5,6062,35,38,3,0.18120000459020957,True,4.08
50,5,6063,35,38,3,0.17659999866737053,True,4.08
50,5,6064,35,38,3,0.18090000230586156,True,4.08
50,5,6065,35,38,3,0.18049999926006421,True,4.08
50,5,6066,35,38,3,0.18009999621426687,True,4.08
50,5,6067,35,38,3,0.17769999976735562,True,4.08
50,5,6068,35,38,3,0.1795999996829778,True,4.08
50,5,6069,35,38,3,0.17729999672155827,True,4.08
50,5,6070,35,38,3,0.18039999849861488,True,4.08
50,5,6071,35,38,3,0.17769999976735562,True,4.08
50,5,6072,35,38,3,0.1714000027277507,True,4.08
50,5,6073,35,38,3,0.17160000425064936,True,4.08
50,5,6074,35,38,3,0.18769999587675557,True,4.08
50,5,6075,35,38,3,0.17579999985173345,True,4.08
50,5,6076,35,38,3,0.1694999955361709,True,4.08
50,5,6077,35,38,3,0.17079999815905467,True,4.08
50,5,6078,35,38,3,0.1747999995131977,True,4.08
50,5,6079,35,38,3,0.16909999976633117,True,4.08
50,10,6100,37,37,0,0.20640000002458692,True,7.76
50,10,6101,37,37,0,0.1840999975684099,True,7.76
50,10,6102,33,33,0,0.2106000029016286,True,8.6
50,10,6103,44,44,0,0.17249999655177817,True,6.96
50,10,6104,41,42,1,0.3070999955525622,True,9.6
50,10,6105,41,41,0,0.18360000103712082,True,7.6
50,10,6106,30,31,1,0.2269000033265911,True,7.88
50,10,6107,43,43,0,0.1857999959611334,True,7.44
50,10,6108,44,45,1,0.25119999918388203,True,8.48
50,10,6109,43,43,0,0.18980000459123403,True,7.76
50,10,6110,37,37,0,0.20219999714754522,True,8.4
50,10,6111,40,40,0,0.17449999722884968,True,7.08
50,10,6112,34,34,0,0.19939999765483662,True,8.48
50,10,6113,42,42,0,0.19439999596215785,True,7.8
50,10,6114,42,42,0,0.18429999909130856,True,7.8
50,10,6115,42,42,0,0.1770999951986596,True,7.8
50,10,6116,32,34,2,0.23540000256616622,True,6.6
50,10,6117,45,45,0,0.1866999955382198,True,7.6
50,10,6118,33,33,0,0.18670000281417742,True,7.8
50,10,6119,36,36,0,0.19250000332249328,True,7.88
50,10,6120,36,36,0,0.2100000056088902,True,7.88
50,10,6121,34,34,0,0.18849999469239265,True,7.64
50,10,6122,40,40,0,0.262400004430674,True,6.68
50,10,6123,40,40,0,0.20109999604756013,True,7.48
50,10,6124,43,44,1,0.24899999698391184,True,7.24
50,10,6125,43,44,1,0.2227000004495494,True,7.24
50,10,6126,41,41,0,0.1864000005298294,True,7.32
50,10,6127,45,45,0,0.2426999999443069,True,9.56
50,10,6128,45,45,0,0.23990000045159832,True,9.56
50,10,6129,45,45,0,0.22879999596625566,True,9.56
50,15,6150,28,29,1,0.2953000002889894,True,10.96
50,15,6151,41,41,0,0.24879999546101317,True,10.48
50,15,6152,46,46,0,0.23750000400468707,True,9.76
50,15,6153,40,40,0,0.29200000426499173,True,12.24
50,15,6154,40,40,0,0.2862999972421676,True,12.24
50,15,6155,40,40,0,0.2775999964796938,True,12.24
50,15,6156,42,42,0,0.24639999901410192,True,10.32
50,15,6157,49,49,0,0.2814999970723875,True,10.56
50,15,6158,39,39,0,0.2527999968151562,True,10.24
50,15,6159,39,39,0,0.2693999995244667,True,10.8
50,15,6160,40,40,0,0.24560000019846484,True,9.64
50,15,6161,40,40,0,0.2443999983370304,True,9.48
50,15,6162,41,41,0,0.29859999631298706,True,12.24
50,15,6163,32,32,0,0.2609000002848916,True,11.0
50,15,6164,43,43,0,0.2767999976640567,True,11.36
50,15,6165,36,36,0,0.2739000046858564,True,11.48
50,15,6166,38,38,0,0.2533000006224029,True,10.44
50,15,6167,43,43,0,0.27830000180983916,True,11.44
50,15,6168,48,48,0,0.222100003156811,True,9.12
50,15,6169,43,43,0,0.2630000017234124,True,11.0
50,15,6170,44,44,0,0.2747999969869852,True,11.0
50,15,6171,34,34,0,0.2252000049338676,True,9.92
50,15,6172,36,36,0,0.27380000392440706,True,12.0
50,15,6173,38,38,0,0.26030000299215317,True,10.96
50,15,6174,46,46,0,0.28610000299522653,True,12.04
50,15,6175,37,37,0,0.6947000001673587,True,12.04
50,15,6176,37,37,0,0.265499998931773,True,11.28
50,15,6177,46,46,0,0.29120000544935465,True,12.16
50,15,6178,38,38,0,0.2386999985901639,True,10.24
50,15,6179,33,33,0,0.24729999859118834,True,10.84
50,20,6200,44,44,0,0.2826000054483302,True,11.96
50,20,6201,48,48,0,0.3964000061387196,True,15.52
50,20,6202,38,38,0,0.31770000350661576,True,12.84
50,20,6203,42,42,0,0.309199996991083,True,13.32
50,20,6204,37,37,0,0.2747000035014935,True,12.12
50,20,6205,37,37,0,0.33799999800976366,True,14.88
50,20,6206,38,38,0,0.3252000024076551,True,14.32
50,20,6207,38,38,0,0.30229999538278207,True,13.32
50,20,6208,27,27,0,0.334700001985766,True,15.12
50,20,6209,48,48,0,0.302400003420189,True,12.48
50,20,6210,39,39,0,0.37629999860655516,True,13.76
50,20,6211,29,29,0,0.3479000006336719,True,14.88
50,20,6212,47,47,0,0.3203000014764257,True,13.24
50,20,6213,40,40,0,0.40869999793358147,True,16.72
50,20,6214,35,35,0,0.31519999902229756,True,13.16
50,20,6215,39,39,0,0.3355999942868948,True,14.28
50,20,6216,35,35,0,0.44329999946057796,True,16.92
50,20,6217,35,35,0,0.4126999992877245,True,16.92
50,20,6218,44,44,0,0.3054000044357963,True,12.64
50,20,6219,24,24,0,0.2812000020639971,True,12.72
50,20,6220,46,46,0,0.301199994282797,True,12.88
50,20,6221,22,22,0,0.29350000113481656,True,13.32
50,20,6222,29,29,0,0.370699999621138,True,15.76
50,20,6223,44,44,0,0.3476999991107732,True,14.64
50,20,6224,44,44,0,0.3324999997857958,True,13.92
50,20,6225,31,31,0,0.4025000016554259,True,17.44
50,20,6226,46,46,0,0.3226999979233369,True,13.28
50,20,6227,42,42,0,0.3646000041044317,True,15.56
50,20,6228,40,40,0,0.3488000002107583,True,15.04
50,20,6229,39,39,0,0.3276999996160157,True,13.96
100,5,11050,75,76,1,0.33519999851705506,True,4.86
100,5,11051,75,76,1,0.3316000002087094,True,4.86
100,5,11052,75,76,1,0.34559999767225236,True,4.86
100,5,11053,75,76,1,0.33200000325450674,True,4.86
100,5,11054,75,76,1,0.3376000022399239,True,4.86
100,5,11055,75,76,1,0.3423000016482547,True,4.86
100,5,11056,75,76,1,0.32640000426908955,True,4.86
100,5,11057,75,76,1,0.3316000002087094,True,4.86
100,5,11058,75,76,1,0.3350999977556057,True,4.86
100,5,11059,75,76,1,0.3268000000389293,True,4.86
100,5,11060,75,76,1,0.3414000020711683,True,4.86
100,5,11061,75,76,1,0.33909999910974875,True,4.86
100,5,11062,75,76,1,0.3304000056232326,True,4.86
100,5,11063,75,76,1,0.3339000031701289,True,4.86
100,5,11064,75,76,1,0.33070000063162297,True,4.86
100,5,11065,75,76,1,0.33489999623270705,True,4.86
100,5,11066,75,76,1,0.33119999716291204,True,4.86
100,5,11067,75,76,1,0.3281999961473048,True,4.86
100,5,11068,75,76,1,0.3321000040159561,True,4.86
100,5,11069,75,76,1,0.32750000536907464,True,4.86
100,5,11070,75,76,1,0.327199995808769,True,4.86
100,5,11071,75,76,1,0.3297000002930872,True,4.86
100,5,11072,75,76,1,0.3375000014784746,True,4.86
100,5,11073,75,76,1,0.3276999996160157,True,4.86
100,5,11074,75,76,1,0.33030000486178324,True,4.86
100,5,11075,75,76,1,0.33489999623270705,True,4.86
100,5,11076,75,76,1,0.32720000308472663,True,4.86
100,5,11077,75,76,1,0.33289999555563554,True,4.86
100,5,11078,75,76,1,0.32640000426908955,True,4.86
100,5,11079,75,76,1,0.32950000604614615,True,4.86
